variant_id,Product Name,SKU Product,Product Type,Category I,Category II,ASIN,Type Product II
41610990387397,55Lb Bulk Bag  Desert Rose,41960854552773,55lb bulk bag,55lb Bulk Bag,Desert Rose,-,Colored Products
41960854585541,55Lb Bulk Bag  Lilac,41960854585541,55lb bulk bag,55lb Bulk Bag,Lilac,-,Colored Products
41960854421701,55Lb Bulk Bag Baby Blue,41960854421701,55lb bulk bag,55lb Bulk Bag,Baby Blue,-,Colored Products
41610940448965,55Lb Bulk Bag Baby Blue,41960854421701,55lb bulk bag,55lb Bulk Bag,Baby Blue,-,Colored Products
41960854454469,55Lb Bulk Bag Baby Pink,41960854454469,55lb bulk bag,55lb Bulk Bag,Baby Pink,-,Colored Products
41610990289093,55Lb Bulk Bag Baby Pink,41960854454469,55lb bulk bag,55lb Bulk Bag,Baby Pink,-,Colored Products
41610940416197,55Lb Bulk Bag Black,41610940416197,55lb bulk bag,55lb Bulk Bag,Black,-,Colored Products
41960854388933,55Lb Bulk Bag Black,41610940416197,55lb bulk bag,55lb Bulk Bag,Black,-,Colored Products
42200203100357,55Lb Bulk Bag Classic Navy,42200203100357,55lb bulk bag,55lb Bulk Bag,Classic Navy,-,Colored Products
41772034359493,55Lb Bulk Bag Cloud,41772034359493,55lb bulk bag,55lb Bulk Bag,Cloud,-,Colored Products
42200203198661,55Lb Bulk Bag Dark Emerald,42200203198661,55lb bulk bag,55lb Bulk Bag,Dark Emerald,-,Colored Products
42200202969285,55Lb Bulk Bag Ivory,42200202969285,55lb bulk bag,55lb Bulk Bag,Ivory,-,Colored Products
41771976425669,55Lb Bulk Bag Nude,41771976425669,55lb bulk bag,55lb Bulk Bag,Nude,-,Colored Products
41960854782149,55Lb Bulk Bag Nude,41771976425669,55lb bulk bag,55lb Bulk Bag,Nude,-,Colored Products
41771976458437,55Lb Bulk Bag Pecan,41960854814917,55lb bulk bag,55lb Bulk Bag,Pecan,-,Colored Products
41960854814917,55Lb Bulk Bag Pecan,41960854814917,55lb bulk bag,55lb Bulk Bag,Pecan,-,Colored Products
42169176326341,55Lb Bulk Bag Red,42169176326341,55lb bulk bag,55lb Bulk Bag,Red,-,Colored Products
41610990420165,55Lb Bulk Bag Sand,41610990420165,55lb bulk bag,55lb Bulk Bag,Sand,-,Colored Products
41960854716613,55Lb Bulk Bag Sangria,41960854716613,55lb bulk bag,55lb Bulk Bag,Sangria,-,Colored Products
41610940383429,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960854356165,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41291517329605,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41291517296837,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960860811461,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
42224231514309,55Lb Bulk Bag White,41610940383429,55lb bulk bag,55lb Bulk Bag,White,-,Colored Products
41960856191173,55Lb Bulk Bag Lazy Lulu,41960856191173,55lb bulk bag,55lb Bulk Bag,Lazy Lulu,-,Scent Products
41960856420549,55Lb Bulk Bag Sorry Sucker,41960856420549,55lb bulk bag,55lb Bulk Bag,Sorry Sucker,-,Scent Products
41960856256709,55Lb Bulk Bag Zesty Zen,41960856256709,55lb bulk bag,55lb Bulk Bag,Zesty Zen,-,Scent Products
42181493031109,Sample All Color Bundle,42181493031109,Sample,Colored Sample,Bundle,-,Colored Sample
41339636875461,Sample Baby Blue,41339636875461,Sample,Colored Sample,Baby Blue,-,Colored Sample
41339636842693,Sample Baby Pink,41339636842693,Sample,Colored Sample,Baby Pink,-,Colored Sample
41339628683461,Sample Black,41339628683461,Sample,Colored Sample,Black,-,Colored Sample
42178855010501,Sample Boldss Bundle,42178855010501,Sample,Colored Sample,Bundle,-,Colored Sample
41339628781765,Sample Charcoal,41339628781765,Sample,Colored Sample,Charcoal,-,Colored Sample
41339636940997,Sample Cherry Blossom,41339636940997,Sample,Colored Sample,Cherry Blossom,-,Colored Sample
42183742390469,Sample Classic Navy,42183742390469,Sample,Colored Sample,Classic Navy,-,Colored Sample
41772053102789,Sample Cloud,41772053102789,Sample,Colored Sample,Cloud,-,Colored Sample
42183742292165,Sample Dark Emerald,42183742292165,Sample,Colored Sample,Dark Emerald,-,Colored Sample
41339628650693,Sample Desert Rose,41339628650693,Sample,Colored Sample,Desert Rose,-,Colored Sample
41772053201093,Sample Espresso,41772053201093,Sample,Colored Sample,Espresso,-,Colored Sample
42183741997253,Sample Ivory,42183741997253,Sample,Colored Sample,Ivory,-,Colored Sample
41339636973765,Sample Lilac,41339636973765,Sample,Colored Sample,Lilac,-,Colored Sample
42178855043269,Sample Naturals Bundle,42178855043269,Sample,Colored Sample,Bundle,-,Colored Sample
41772053135557,Sample Nude,41772053135557,Sample,Colored Sample,Nude,-,Colored Sample
42263813685445,Sample Ocean Blue,42263813685445,Sample,Colored Sample,Ocean Blue,-,Colored Sample
41339628617925,Sample Olive,41339628617925,Sample,Colored Sample,Olive,-,Colored Sample
41772053168325,Sample Pecan,41772053168325,Sample,Colored Sample,Pecan,-,Colored Sample
41339628716229,Sample Pistachio,41339628716229,Sample,Colored Sample,Pistachio,-,Colored Sample
42161749131461,Sample Plum,42161749131461,Sample,Colored Sample,Plum,-,Colored Sample
42169174360261,Sample Pumpkin,42169174360261,Sample,Colored Sample,Pumpkin,-,Colored Sample
42169174098117,Sample Red,42169174098117,Sample,Colored Sample,Red,-,Colored Sample
41339628814533,Sample Sand,41339628814533,Sample,Colored Sample,Sand,-,Colored Sample
41339628748997,Sample Sangria,41339628748997,Sample,Colored Sample,Sangria,-,Colored Sample
41772053070021,Sample Smokey Sage,41772053070021,Sample,Colored Sample,Smokey Sage,-,Colored Sample
42178855076037,Sample The Pastels Bundle,42178855076037,Sample,Colored Sample,Bundle,-,Colored Sample
41339636908229,Sample White,41339636908229,Sample,Colored Sample,Scent Free,-,Colored Sample
42176568885445,Sample Scent Bundle,42176568885445,Sample,Scent Sample,Bundle,-,Scent Sample
42347175903429,Sample Holiday Scent Bundle,42347175903429,Sample,Scent Sample,Bundle,-,Scent Sample
41339626389701,Scent Sample Dreamy Dunes,41339626389701,Sample,Scent Sample,Dreamy Dunes,-,Scent Sample
41854475206853,Scent Sample Festive Fir,41854475206853,Sample,Scent Sample,Festive Fir,-,Scent Sample
41339626422469,Scent Sample Lazy Lulu,41339626422469,Sample,Scent Sample,Lazy Lulu,-,Scent Sample
41339626455237,Scent Sample Mellow Mocha,41339626455237,Sample,Scent Sample,Mellow Mocha,-,Scent Sample
41339626488005,Scent Sample Misty Monte,41339626488005,Sample,Scent Sample,Misty Monte,-,Scent Sample
41339626520773,Scent Sample Scent Free,41339626520773,Sample,Scent Sample,Scent Free,-,Scent Sample
41339626553541,Scent Sample Sorry Sucker,41339626553541,Sample,Scent Sample,Sorry Sucker,-,Scent Sample
41854475239621,Scent Sample Yummy Yule,41854475239621,Sample,Scent Sample,Yummy Yule,-,Scent Sample
41339626586309,Scent Sample Zest Zen,41339626586309,Sample,Scent Sample,Zesty Zen,-,Scent Sample
42347138384069,Scent Sample Mulled Magic,42347138384069,Sample,Scent Sample,Mulled Magic,-,Scent Sample
41985847001285,Bulk Wicks (100uni),41985847001285,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41984216694981,Event Wicks sample,41984216694981,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
42193617551557,XL Event Wicks (100uni),42193617551557,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41984224854213,Event XL Wicks Samples,41984224854213,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41134084751557,Extra Wicks (30uni),41134084751557,Wicks,Wicks,Wicks (30 units),-,Addicional Wicks
41961901195461,Extra Wicks (30uni),41134084751557,Wicks,Wicks,Wicks (30 units),-,Addicional Wicks
41972815757509,Event Wicks - 100,41972815757509,Wicks,Wicks,Wicks (100 units),-,Addicional Wicks
41610990452933,55Lb Bulk Bag  Lilac,41960854585541,55lb bulk bag,55lb Bulk Bag,Lilac,-,Colored Products
42345978003653,18oz Box Festive Fir,42345978003653,18oz candle,18oz candle,Festive Fir,B0BLT93JL2,Scent Products
42355999244485,18oz Box Zesty Zen + Vase,40863057608901,18oz candle,18oz candle + Vase,Zesty Zen,-,Scent Products
42355939475653,2gal Pail Scent Free,41236833501381,2gal bucket,2gal Scented,Scent Free,B08QZFNL1F,Scent Products
42355939705029,2gal Pail Zesty Zen,41236833697989,2gal bucket,2gal Scented,Zesty Zen,B0BLT84RR5,Scent Products
42355939639493,2gal Pail Misty Monte,41236833632453,2gal bucket,2gal Scented,Misty Monte,B0BLT4KLZF,Scent Products
42355999015109,18oz Box Scent Free + Vase,40863085854917,18oz candle,18oz candle + Vase,Scent Free,-,Scent Products
42355999113413,18oz Box Lazy Lulu + Vase,40863057477829,18oz candle,18oz candle + Vase,Lazy Lulu,-,Scent Products
42355999178949,18oz Box Misty Monte + Vase,40863057543365,18oz candle,18oz candle + Vase,Misty Monte,-,Scent Products
42356032110789,2gal Pail Mulled Magic + Vase set,42356032110789,2gal bucket,2gal Scented + Vase set,Mulled Magic,-,Scent Products
